method,seed,round,budget,hypervolume,igd,n_nondominated,objective_spacing,archive_input_diversity,last_batch_diversity
nsga2_surrogate,3,5,84,0.46404,0.19799235037192792,28,0.13702121039025736,0.5084235919403797,0.5925718952595056
nsga2_surrogate,3,6,96,0.49462,0.19004844449146907,31,0.1403230971533438,0.5090267065967108,0.5568225844216501
nsga2_surrogate,4,0,24,0.20096,0.24898532418946184,13,0.0843456685577105,0.4836114190940184,
nsga2_surrogate,4,1,36,0.2499,0.2270690994899213,16,0.15315828033510404,0.498780383592131,0.6257802018127189
nsga2_surrogate,4,2,48,0.32242,0.21708052179969134,18,0.18278812483981394,0.5192863678527767,0.6125960777353371
nsga2_surrogate,4,3,60,0.40479,0.18862445853795648,24,0.17085186577496717,0.5329663198938942,0.6092265598666883
nsga2_surrogate,4,4,72,0.42868,0.17070797062598161,28,0.16836071992677187,0.5336261203688852,0.6248049156022323
nsga2_surrogate,4,5,84,0.42901,0.169356240715376,29,0.16720506662085352,0.538092465182035,0.6261623121166539
nsga2_surrogate,4,6,96,0.44317,0.1520573888007127,32,0.16793155327228051,0.5188817066410655,0.5244150681164225
gflownet_pareto,0,0,24,0.24892,0.2974996019805351,12,0.1997783292683372,0.4920763373664329,
gflownet_pareto,0,1,36,0.25321,0.2742038341316639,16,0.18818115142017866,0.4722073080607062,0.3262077251975469
gflownet_pareto,0,2,48,0.25413,0.27448071342937586,16,0.19977511429228517,0.47310792152245146,0.3144875430814348
gflownet_pareto,0,3,60,0.36286,0.205323460684315,20,0.1586411661656254,0.43248445376487965,0.37834256043397785
gflownet_pareto,0,4,72,0.40471,0.19074662735514158,26,0.1167225473076912,0.3905699500404167,0.343530230353177
gflownet_pareto,0,5,84,0.42114,0.18114353319334436,31,0.10899815777756754,0.40079400582899755,0.45087308141095356
gflownet_pareto,0,6,96,0.43417,0.17801142077251397,35,0.10047861151543273,0.3988326514732585,0.42049390863990643
gflownet_pareto,1,0,24,0.10398,0.33586966974103377,14,0.07035696082858457,0.44225031020119293,
gflownet_pareto,1,1,36,0.34031,0.22856658194483506,16,0.1698035520673041,0.3866521111340561,0.2927898827228688
gflownet_pareto,1,2,48,0.39804,0.19859253280250155,23,0.1075171729302857,0.34272377222137335,0.29710247086090674
gflownet_pareto,1,3,60,0.39852,0.19172644126276503,30,0.09633093031069585,0.3564610623665454,0.35341235444942715
gflownet_pareto,1,4,72,0.41307,0.1745477987067636,34,0.07006090716998833,0.3640610839126044,0.32165037491334925
gflownet_pareto,1,5,84,0.41439,0.1639747908030974,41,0.10041836170132187,0.370102538645782,0.3789815494044309
gflownet_pareto,1,6,96,0.41601,0.15964375112805382,46,0.07595620224914139,0.36967631942679813,0.33028608664576864
gflownet_pareto,2,0,24,0.22332,0.2483935922678904,12,0.2610351242252558,0.47198528358701053,
gflownet_pareto,2,1,36,0.35231,0.21717287845227373,20,0.22453251058784668,0.4376276173474957,0.38914172661477814
gflownet_pareto,2,2,48,0.37414,0.20852301892169478,24,0.20980136928741122,0.3879623013144174,0.2310830863467557
gflownet_pareto,2,3,60,0.405,0.19435268534943337,28,0.1598447181813538,0.37541198344403326,0.3393094355998618
gflownet_pareto,2,4,72,0.40605,0.1943882312536705,31,0.15803758756687283,0.3647911462431991,0.37064359276816816
gflownet_pareto,2,5,84,0.41652,0.18629381871301112,38,0.1511533428137404,0.360018082417008,0.34707010680208555
gflownet_pareto,2,6,96,0.43938,0.17422693656366287,44,0.13953852136636308,0.3557578573854308,0.29856035177172235
gflownet_pareto,3,0,24,0.12344,0.30553977726534287,11,0.12402363262964096,0.44854570296597546,
gflownet_pareto,3,1,36,0.2478,0.2543150082418691,15,0.1231473944558666,0.4365066355369123,0.3351544561670933
gflownet_pareto,3,2,48,0.25426,0.24770018853690834,21,0.12775400245480145,0.3704557199568616,0.29608130870279814
gflownet_pareto,3,3,60,0.2717,0.23803641437939546,24,0.09371930129455219,0.3257888509737819,0.30651698538026556
gflownet_pareto,3,4,72,0.27536,0.245923038075421,28,0.047377422358402796,0.3159518636345008,0.2552442045919488
gflownet_pareto,3,5,84,0.38458,0.1962207501028811,34,0.08702516812118476,0.31938895192257016,0.2801646001575008
gflownet_pareto,3,6,96,0.38679,0.19380666514962538,40,0.08335733221281712,0.3173404965125106,0.3490011645754869
gflownet_pareto,4,0,24,0.20096,0.24898532418946184,13,0.0843456685577105,0.4836114190940184,
gflownet_pareto,4,1,36,0.22477,0.2268145566082862,21,0.13324957169912433,0.39267973290000174,0.30750083747469636
gflownet_pareto,4,2,48,0.30721,0.1944803519186657,27,0.1192701310128651,0.39091582486569876,0.28185964392770874
gflownet_pareto,4,3,60,0.30895,0.1920131059718955,35,0.1121370171321522,0.36713561870230715,0.2794034935793528
gflownet_pareto,4,4,72,0.31674,0.19368640951348673,42,0.09630427356187256,0.35248801778016414,0.29291683343278463
gflownet_pareto,4,5,84,0.31857,0.1870165419422394,44,0.08547764393036937,0.3522560025394858,0.33088239352047816
gflownet_pareto,4,6,96,0.33069,0.18359391962748725,43,0.08434529005275586,0.34644912626118146,0.3587970787830979
gfn_nsga2_feedback,0,0,24,0.24892,0.2974996019805351,12,0.1997783292683372,0.4920763373664329,
gfn_nsga2_feedback,0,1,36,0.36886,0.24686193143780633,17,0.16879402704859217,0.5268926600580923,0.6168599891970316
gfn_nsga2_feedback,0,2,48,0.44517,0.19261225877812696,18,0.10786166370044911,0.5108067955133454,0.5803503027963426
gfn_nsga2_feedback,0,3,60,0.47494,0.17472590191865403,23,0.12353661600924037,0.5068428607703628,0.5294195597337291
gfn_nsga2_feedback,0,4,72,0.51661,0.1640944258153473,27,0.1197753086732201,0.49223961082171974,0.5399198928714988
gfn_nsga2_feedback,0,5,84,0.54587,0.15900942117969175,31,0.1161740115627524,0.49365518350137366,0.5397946114715051
gfn_nsga2_feedback,0,6,96,0.56878,0.15295298171051377,33,0.12791090438773473,0.48559568837500494,0.5473036431239986
gfn_nsga2_feedback,1,0,24,0.10398,0.33586966974103377,14,0.07035696082858457,0.44225031020119293,
gfn_nsga2_feedback,1,1,36,0.24849,0.29013831021674746,19,0.16818790447096268,0.509765544907506,0.5836732482434119
gfn_nsga2_feedback,1,2,48,0.27751,0.27110983577683373,24,0.13751704909951304,0.5146550623829713,0.5954360585252636
gfn_nsga2_feedback,1,3,60,0.29886,0.23421021592004562,26,0.13463597992267573,0.5172481804302125,0.6023031695490609
gfn_nsga2_feedback,1,4,72,0.35815,0.21097200114930295,29,0.10977239602800475,0.5285836848027595,0.6147642399668414
gfn_nsga2_feedback,1,5,84,0.43513,0.18410043685639838,26,0.12776268450108166,0.5170935804087257,0.5825667552511844
gfn_nsga2_feedback,1,6,96,0.48553,0.17278555273691404,27,0.14931264249715107,0.5015146684278009,0.5603673256436125
gfn_nsga2_feedback,2,0,24,0.22332,0.2483935922678904,12,0.2610351242252558,0.47198528358701053,
gfn_nsga2_feedback,2,1,36,0.40333,0.21854929049717672,19,0.1563943628882432,0.511274933021994,0.5563475436304685
gfn_nsga2_feedback,2,2,48,0.45979,0.2048210701272875,19,0.14678311647162845,0.4797821564536329,0.5797142113780783
gfn_nsga2_feedback,2,3,60,0.5462,0.18468906925201922,24,0.15631801762140335,0.48488716899103784,0.5719082748310488
gfn_nsga2_feedback,2,4,72,0.55218,0.17190456464134177,28,0.1362494964914466,0.4861776416873836,0.5713845101865804
gfn_nsga2_feedback,2,5,84,0.56845,0.16242553439159046,32,0.10869688305409364,0.49656626900594864,0.6132549184905998
gfn_nsga2_feedback,2,6,96,0.57975,0.15895235619838172,35,0.1151935541120964,0.5018816343481185,0.6091573283526877
gfn_nsga2_feedback,3,0,24,0.12344,0.30553977726534287,11,0.12402363262964096,0.44854570296597546,
gfn_nsga2_feedback,3,1,36,0.17941,0.2846749371544399,14,0.2431060532792975,0.49385411497252496,0.6095403233650152
gfn_nsga2_feedback,3,2,48,0.35779,0.21727327519670486,19,0.1751094025956491,0.49523222873685546,0.5772426574245197
gfn_nsga2_feedback,3,3,60,0.36761,0.20242618439950336,23,0.1221178266598136,0.4970157436143743,0.5510772554271806
gfn_nsga2_feedback,3,4,72,0.44249,0.17840810235391671,30,0.11159395260373872,0.4907140531109447,0.5180485873593494
gfn_nsga2_feedback,3,5,84,0.45759,0.16518192356113606,35,0.11374289682321108,0.48110763235864196,0.5358536419509136
gfn_nsga2_feedback,3,6,96,0.51034,0.1628805450633162,38,0.12633147745794934,0.48005487363994465,0.5195413515380355
gfn_nsga2_feedback,4,0,24,0.20096,0.24898532418946184,13,0.0843456685577105,0.4836114190940184,
gfn_nsga2_feedback,4,1,36,0.29019,0.2337820818091082,17,0.09509515203087585,0.5056812392765638,0.6330646162085465
gfn_nsga2_feedback,4,2,48,0.34071,0.20671918128117228,19,0.10575577010661928,0.5086717811151477,0.589179902196667
gfn_nsga2_feedback,4,3,60,0.4243,0.20069660559874372,23,0.10978898143354877,0.5027525951488802,0.578799254372767
gfn_nsga2_feedback,4,4,72,0.4603,0.1918364759372495,23,0.12140291527793376,0.4944378378181288,0.5886890596921877
gfn_nsga2_feedback,4,5,84,0.4693,0.1653645004905565,27,0.13197567737828766,0.48291061953530373,0.5890147716169903
gfn_nsga2_feedback,4,6,96,0.48376,0.15756009283566175,30,0.1378555575575001,0.4915237201903363,0.5750941116918605
